Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
1,Innovate Industries,Email,Men 18-24,30 days,Google Ads,0.04,16174,6.29,Chicago,Spanish,506,1922,6,Health & Wellness,1/1/2021
2,NexGen Systems,Email,Women 35-44,60 days,Google Ads,0.12,11566,5.61,New York,German,116,7523,7,Fashionistas,1/2/2021
3,Alpha Innovations,Influencer,Men 25-34,30 days,YouTube,0.07,10200,7.18,Los Angeles,French,584,7698,1,Outdoor Adventurers,1/3/2021
4,DataTech Solutions,Display,All Ages,60 days,YouTube,0.11,12724,5.55,Miami,Mandarin,217,1820,7,Health & Wellness,1/4/2021
5,NexGen Systems,Email,Men 25-34,15 days,YouTube,0.05,16452,6.5,Los Angeles,Mandarin,379,4201,3,Health & Wellness,1/5/2021
6,DataTech Solutions,Display,All Ages,15 days,Instagram,0.07,9716,4.36,New York,German,100,1643,1,Foodies,1/6/2021
7,NexGen Systems,Email,Women 35-44,60 days,Website,0.13,11067,2.86,Los Angeles,Spanish,817,8749,10,Tech Enthusiasts,1/7/2021
8,DataTech Solutions,Search,Men 18-24,45 days,Google Ads,0.08,13280,5.55,Los Angeles,Mandarin,624,7854,7,Outdoor Adventurers,1/8/2021
9,Alpha Innovations,Social Media,Women 35-44,15 days,Facebook,0.09,18066,6.73,Chicago,German,861,1754,6,Tech Enthusiasts,1/9/2021
10,TechCorp,Email,Women 35-44,15 days,Instagram,0.09,13766,3.78,Los Angeles,English,642,3856,3,Tech Enthusiasts,1/10/2021
11,NexGen Systems,Display,Men 25-34,45 days,Email,0.12,8590,3.49,New York,Spanish,321,6628,10,Tech Enthusiasts,1/11/2021
12,Innovate Industries,Influencer,Men 25-34,60 days,Google Ads,0.05,17502,3.59,Los Angeles,Mandarin,659,8948,1,Foodies,1/12/2021
13,TechCorp,Social Media,Men 25-34,60 days,Facebook,0.09,17189,4.91,Chicago,Mandarin,677,8817,10,Tech Enthusiasts,1/13/2021
14,TechCorp,Email,Men 25-34,45 days,Instagram,0.14,9975,7.06,New York,German,994,2201,4,Health & Wellness,1/14/2021
15,TechCorp,Display,All Ages,45 days,Website,0.04,11346,5.28,Chicago,Spanish,482,8470,1,Outdoor Adventurers,1/15/2021
16,Innovate Industries,Social Media,Women 35-44,60 days,YouTube,0.11,9407,2.91,New York,German,299,1512,5,Health & Wellness,1/16/2021
17,Innovate Industries,Display,Women 35-44,45 days,Website,0.08,5478,4.53,Houston,English,931,2488,3,Fashionistas,1/17/2021
18,Alpha Innovations,Influencer,Men 18-24,15 days,Instagram,0.14,9485,4.48,Miami,French,218,9264,9,Health & Wellness,1/18/2021
