enrollee_id,city,city_development_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,target_label,experience_num,last_new_job_num,company_size_num,experience_group,city_group,training_group,job_change_flag
8949,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,1,36,1,Job Change,21,1,4,Senior,High,Medium,Yes
29725,city_40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,0,Stay,15,5,3,Senior,High,Medium,No
11561,city_21,0.624,Unknown,No relevent experience,Full time course,Graduate,STEM,5,Unknown,Unknown,never,83,0,Stay,5,0,4,Junior,Medium,High,No
33241,city_115,0.789,Unknown,No relevent experience,Unknown,Graduate,Business Degree,<1,Unknown,Pvt Ltd,never,52,1,Job Change,0,0,4,Entry,High,High,Yes
666,city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8,0,Stay,21,4,3,Senior,High,Low,No
21651,city_176,0.764,Unknown,Has relevent experience,Part time course,Graduate,STEM,11,Unknown,Unknown,1,24,1,Job Change,11,1,4,Senior,High,Low,Yes
28806,city_160,0.92,Male,Has relevent experience,no_enrollment,High School,Unknown,5,50-99,Funded Startup,1,24,0,Stay,5,1,3,Junior,High,Low,No
402,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,1,Job Change,13,5,1,Senior,High,Low,Yes
27107,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,1,Job Change,7,1,3,Mid,High,Medium,Yes
699,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123,0,Stay,17,5,8,Senior,High,Very High,No
29452,city_21,0.624,Unknown,No relevent experience,Full time course,High School,Unknown,2,Unknown,Unknown,never,32,1,Job Change,2,0,4,Junior,Medium,Medium,Yes
23853,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,0,Stay,5,1,7,Junior,High,Very High,No
25619,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,0,Stay,21,3,6,Senior,High,Low,No
5826,city_21,0.624,Male,No relevent experience,Unknown,Unknown,Unknown,2,Unknown,Unknown,never,24,0,Stay,2,0,4,Junior,Medium,Low,No
8722,city_21,0.624,Unknown,No relevent experience,Full time course,High School,Unknown,5,Unknown,Unknown,never,26,0,Stay,5,0,4,Junior,Medium,Medium,No
6588,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,>4,18,0,Stay,16,5,2,Senior,High,Low,No
